only features
{
    "f_d_out": 1024, 
    "dropout": 0.7296244459829335, 
    "f_dropout": 0.8255444236474426, 
    "TRAIN_SIZE": 1.0, 
    "WIDTH": 128, 
    "SEED": 42, 
    "BATCH_SIZE": 66, 
    "ITERATIONS": 10000.0, 
    "f_conv1_num": 8, 
    "HEIGHT": 128, 
    "CHANNEL": 1, 
    "conv1_out": 128, 
    "VALIDATION_SIZE": 0.2, 
    "conv2_num": 7, 
    "report_interval": 100, 
    "conv2_out": 256, 
    "NUM_CLASSES": 99, 
    "d_out": 1024, 
    "CLASS_SIZE": 1.0, 
    "features_images": "features only", 
    "l2_penalty": 0.01, 
    "conv1_num": 5, 
    "LEARNING_RATE": 0.001, 
    "f_conv1_out": 512
}
Iter 	 Batch Loss 	 Batch Accuracy 	 Valid Loss 	 Valid Accuracy 	 Time delta
0:	  8012.76		  0.0		  7032.68		  1.01 		 10.57
100:	  1725.18		  3.0		  531.70		  7.58 		 271.22
200:	  411.54		  14.3		  285.55		  16.67 		 271.22
300:	  240.48		  30.5		  196.86		  34.34 		 271.23
400:	  157.32		  46.6		  107.58		  49.49 		 271.26
500:	  96.31		  60.9		  132.87		  50.51 		 271.15
600:	  89.43		  64.2		  124.66		  52.53 		 271.15
700:	  73.42		  71.3		  79.73		  66.67 		 271.18
800:	  45.60		  80.5		  75.19		  64.65 		 271.22
900:	  47.80		  80.3		  97.91		  61.11 		 271.32
1000:	  58.34		  78.0		  95.84		  65.15 		 271.14
1100:	  53.52		  79.8		  67.29		  70.71 		 271.09
1200:	  45.33		  84.4		  44.70		  80.30 		 271.18
1300:	  36.69		  86.9		  63.10		  74.24 		 271.23
1400:	  39.20		  86.5		  101.58		  61.62 		 271.21
1500:	  43.68		  85.5		  83.18		  68.18 		 271.19
1600:	  54.44		  83.2		  58.28		  78.79 		 271.11
1700:	  38.73		  87.6		  59.34		  78.28 		 271.17
1800:	  36.12		  88.8		  82.82		  72.73 		 271.16
1900:	  49.15		  86.6		  69.90		  75.25 		 271.32
2000:	  48.95		  85.8		  93.98		  72.73 		 271.18
2100:	  30.01		  92.4		  58.02		  74.75 		 271.11
2200:	  28.78		  92.0		  56.74		  82.83 		 271.17
2300:	  41.99		  90.3		  80.68		  70.71 		 271.26
2400:	  30.41		  91.7		  48.32		  83.33 		 271.27
2500:	  28.55		  92.5		  75.98		  78.28 		 271.17
2600:	  37.66		  90.2		  61.48		  81.82 		 271.31
2700:	  31.59		  92.4		  95.38		  76.77 		 271.19
2800:	  38.94		  90.0		  68.48		  83.33 		 271.30
2900:	  39.79		  89.7		  79.00		  75.25 		 271.21
3000:	  36.86		  91.3		  59.78		  80.30 		 271.27
3100:	  37.83		  91.9		  59.22		  80.81 		 271.29
3200:	  27.00		  94.3		  97.11		  78.28 		 271.18
3300:	  30.62		  93.0		  86.15		  81.31 		 271.39
3400:	  35.89		  92.2		  92.99		  75.76 		 271.26
3500:	  40.88		  91.1		  67.43		  82.32 		 271.10
3600:	  25.67		  95.0		  63.40		  83.84 		 271.20
3700:	  26.62		  95.3		  57.11		  87.37 		 271.18
3800:	  41.21		  91.6		  97.71		  77.27 		 271.10
3900:	  28.45		  93.9		  74.42		  80.81 		 271.19
4000:	  25.28		  95.6		  41.33		  87.37 		 271.26
4100:	  23.55		  96.9		  74.74		  77.78 		 271.19
4200:	  37.13		  93.0		  107.59		  79.80 		 271.23
4300:	  48.12		  91.0		  57.87		  80.81 		 271.30
4400:	  24.83		  96.3		  57.31		  85.86 		 271.26
4500:	  23.96		  96.2		  55.61		  86.36 		 271.17
4600:	  24.93		  96.4		  88.65		  80.30 		 271.31
4700:	  22.26		  96.9		  53.40		  87.37 		 271.13
4800:	  33.76		  93.6		  48.00		  88.89 		 271.21
4900:	  26.29		  95.6		  61.66		  86.36 		 271.24
5000:	  33.35		  94.8		  68.54		  80.81 		 271.17
5100:	  36.23		  93.8		  89.54		  77.78 		 271.25
5200:	  18.98		  98.5		  63.32		  85.35 		 271.17
5300:	  17.42		  99.2		  50.39		  88.89 		 271.27
5400:	  18.86		  98.4		  43.45		  89.39 		 271.22
5500:	  26.99		  95.6		  70.07		  82.32 		 271.19
