only features
{
    "f_d_out": 1024, 
    "dropout": 0.5714334089609704, 
    "f_dropout": 0.8255444236474426, 
    "TRAIN_SIZE": 1.0, 
    "WIDTH": 128, 
    "SEED": 42, 
    "BATCH_SIZE": 66, 
    "ITERATIONS": 5000.0, 
    "f_conv1_num": 8, 
    "HEIGHT": 128, 
    "CHANNEL": 1, 
    "conv1_out": 32, 
    "VALIDATION_SIZE": 0.2, 
    "conv2_num": 7, 
    "report_interval": 100, 
    "conv2_out": 32, 
    "NUM_CLASSES": 99, 
    "d_out": 1024, 
    "CLASS_SIZE": 1.0, 
    "l2_penalty": 0.01, 
    "conv1_num": 7, 
    "LEARNING_RATE": 0.001, 
    "f_conv1_out": 512
}
Iter 	 Batch Loss 	 Batch Accuracy 	 Valid Loss 	 Valid Accuracy 	 Time delta
0:	  176481.31		  0.0		  174383.73		  1.52 		 11.22
100:	  156782.71		  2.5		  143563.17		  6.57 		 298.59
200:	  132909.74		  13.3		  122601.35		  18.69 		 299.94
300:	  113591.79		  27.8		  104865.36		  35.35 		 295.93
400:	  97167.50		  45.6		  89789.78		  48.99 		 298.59
500:	  83235.60		  55.4		  76938.32		  58.08 		 299.45
600:	  71351.59		  64.5		  65968.09		  57.58 		 298.18
700:	  61160.61		  70.1		  56539.58		  63.64 		 295.65
800:	  52435.39		  70.6		  48480.05		  63.64 		 304.32
900:	  44920.27		  75.4		  41510.35		  70.71 		 300.45
1000:	  38472.73		  77.9		  35558.58		  69.70 		 291.21
1100:	  32920.16		  82.3		  30438.01		  66.16 		 300.49
1200:	  28154.44		  83.7		  26030.91		  67.68 		 301.76
1300:	  24048.09		  86.4		  22222.81		  71.21 		 306.66
1400:	  20531.07		  85.2		  18951.29		  77.27 		 300.95
1500:	  17505.35		  85.9		  16168.14		  73.74 		 296.74
1600:	  14901.39		  87.8		  13751.96		  77.78 		 306.51
1700:	  12672.66		  87.8		  11688.85		  77.78 		 308.89
1800:	  10768.54		  86.8		  9916.27		  80.81 		 301.72
1900:	  9125.90		  89.2		  8418.59		  76.26 		 305.94
2000:	  7723.82		  89.7		  7130.76		  75.76 		 302.76
2100:	  6534.63		  88.1		  6025.68		  79.29 		 300.92
2200:	  5514.77		  89.8		  5116.78		  68.69 		 302.01
2300:	  4657.10		  86.6		  4264.83		  84.34 		 306.22
2400:	  3893.64		  93.3		  3614.90		  79.29 		 301.76
2500:	  3272.83		  92.5		  3017.64		  83.84 		 294.18
2600:	  2744.58		  91.0		  2522.37		  80.30 		 308.58
2700:	  2291.15		  92.6		  2122.91		  84.34 		 309.78
2800:	  1909.98		  93.5		  1790.06		  76.77 		 299.23
2900:	  1605.48		  90.2		  1475.38		  81.82 		 307.28
3000:	  1323.73		  94.0		  1239.42		  83.84 		 294.79
3100:	  1104.49		  92.2		  1069.85		  79.29 		 302.55
3200:	  924.88		  91.1		  857.18		  81.31 		 302.98
3300:	  746.67		  96.3		  728.18		  83.84 		 299.53
3400:	  639.01		  91.5		  614.36		  83.33 		 306.63
3500:	  540.24		  89.3		  571.83		  72.22 		 300.19
3600:	  439.09		  90.9		  434.10		  77.27 		 298.21
3700:	  355.53		  94.0		  348.02		  86.87 		 296.90
3800:	  287.72		  95.2		  318.36		  79.80 		 308.99
3900:	  237.74		  95.5		  298.13		  77.27 		 295.67
4000:	  199.22		  95.4		  228.34		  81.82 		 303.72
4100:	  178.42		  92.8		  206.99		  83.33 		 303.45
4200:	  137.74		  95.7		  195.52		  81.82 		 300.11
4300:	  121.16		  94.3		  163.25		  81.31 		 298.08
4400:	  101.81		  94.2		  133.30		  84.34 		 298.81
4500:	  84.94		  95.3		  105.48		  89.90 		 303.08
4600:	  64.41		  97.6		  109.65		  90.40 		 296.26
4700:	  58.21		  97.5		  79.01		  90.40 		 297.06
4800:	  52.87		  96.5		  103.80		  81.31 		 293.15
4900:	  54.83		  95.0		  127.36		  81.31 		 298.08
5000:	  53.49		  93.9		  77.75		  81.31 		 298.26
